"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sex","character",497,0,3,NA,NA,282,"Boy",NA,0.490913286560409,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amsup1","numeric",450,0.0945674044265594,28,3.70472222222222,3.75,3.75,NA,0.599796903781352,NA,1,5,4,-0.806818651540999,-3.50523597344968,1.38089139415894,3.00620696415099,NA,NA
"amsup2","numeric",437,0.120724346076459,33,3.63176891259347,3.625,3.625,NA,0.627100161965719,NA,1,5,4,-0.546387009393284,-2.33947712578541,0.436919911008662,0.937488563423599,NA,NA
"amsup3","numeric",419,0.156941649899396,37,3.65085140627867,3.75,3.75,NA,0.628306815241589,NA,1.25,5,3.75,-0.545696641882175,-2.28822858273676,0.603382207632133,1.26802389173279,NA,NA
"amsup4","numeric",422,0.150905432595573,37,3.59766227566048,3.625,3.625,NA,0.641011842744293,NA,1,5,4,-0.741669829405702,-3.12102330962036,1.11361685882888,2.34856139828405,NA,NA
"afsup1","numeric",433,0.128772635814889,31,3.44055040936862,3.5,3.5,NA,0.624198840338164,NA,1.125,5,3.875,-0.627050102041772,-2.67262203603992,0.660618298830999,1.41104365605414,NA,NA
"afsup2","numeric",418,0.158953722334004,32,3.3754944797739,3.5,3.5,NA,0.640364193262491,NA,1,4.875,3.875,-0.53034163892955,-2.2212050995773,0.191607714329439,0.402193570032798,NA,NA
"afsup3","numeric",402,0.191146881287726,37,3.35793104040922,3.5,3.5,NA,0.70226527065991,NA,1,4.875,3.875,-0.754262740351917,-3.09843115784571,0.733657551192186,1.51057236727045,NA,NA
"afsup4","numeric",404,0.187122736418511,41,3.33088703157008,3.375,3.375,NA,0.696196266385667,NA,1,5,4,-0.817561285466924,-3.36673732764278,0.847339681224923,1.74892131721535,NA,NA
"masup1","numeric",454,0.0865191146881288,43,3.43903288674332,3.5,3.5,NA,0.443458436900906,NA,2,4.625,2.625,-0.198415141555553,-0.865815145708398,-0.0711208501641516,-0.155509571842262,NA,NA
"masup2","numeric",439,0.116700201207243,33,3.43801468418211,3.5,3.5,NA,0.45173442416973,NA,2.125,4.625,2.5,-0.154400674023908,-0.662601549358191,-0.232675966234783,-0.500375597599502,NA,NA
"masup3","numeric",421,0.152917505030181,39,3.40475637627658,3.375,3.375,NA,0.472085189159989,NA,1.875,4.75,2.875,-0.174252909734896,-0.73241105365765,0.0401457963309371,0.0845662363072313,NA,NA
